video_id,modality,ground_truth,predicted,confidence,data_quality_score,data_quality_issues,is_correct,is_sabotage,ensemble_prediction,ensemble_confidence
sample_00002885.mp4,T,surprise,neutral,70,50,"brief content; limited data modality (only transcript, no audio/visual cues)",False,True,happy,0.5112936344969199
sample_00002885.mp4,A,surprise,happy,92,95,,False,True,happy,0.5112936344969199
sample_00002885.mp4,V,surprise,surprise,75,78,partial occlusion of the right subject's face; 2-person framing with limited visibility of one participant; slightly back/side angle reducing landmark visibility,True,False,happy,0.5112936344969199
sample_00002885.mp4,TAV,surprise,happy,92,95,,False,True,happy,0.5112936344969199
sample_00000705.mp4,T,neutral,angry,60,40,no audio or visual cues provided; short transcript with limited context; whisper modality may affect perceptual clarity,False,False,happy,0.3737166324435318
sample_00000705.mp4,A,neutral,happy,92,95,,False,True,happy,0.3737166324435318
sample_00000705.mp4,V,neutral,surprise,85,90,blurred secondary subject across the table,False,True,happy,0.3737166324435318
sample_00000705.mp4,TAV,neutral,happy,85,90,,False,True,happy,0.3737166324435318
sample_00004007.mp4,T,surprise,neutral,60,25,brief content; transcript-only data; no audio/visual cues,False,False,happy,0.5089285714285714
sample_00004007.mp4,A,surprise,happy,95,95,,False,True,happy,0.5089285714285714
sample_00004007.mp4,V,surprise,happy,75,70,poor lighting,False,True,happy,0.5089285714285714
sample_00004007.mp4,TAV,surprise,happy,90,95,,False,True,happy,0.5089285714285714
sample_00001631.mp4,T,surprise,neutral,60,50,brief content; no audio prosody; unclear emotional cues in single sentence,False,False,surprise,0.5400593471810089
sample_00001631.mp4,A,surprise,neutral,95,100,,False,True,surprise,0.5400593471810089
sample_00001631.mp4,V,surprise,surprise,90,60,background blur; distance causing partial facial visibility; slightly turning away from camera,True,False,surprise,0.5400593471810089
sample_00001631.mp4,TAV,surprise,surprise,92,85,slightly blurred background; gaze directed off-frame making interpretation of context slightly uncertain,True,False,surprise,0.5400593471810089
sample_00005443.mp4,T,happy,neutral,0,10,empty whisper_transcript; no video/audio data provided,False,False,surprise,0.5675675675675675
sample_00005443.mp4,A,happy,surprise,92,95,,False,True,surprise,0.5675675675675675
sample_00005443.mp4,V,happy,happy,75,70,background unfocused; potential shallow depth of field affecting facial detail,True,False,surprise,0.5675675675675675
sample_00005443.mp4,TAV,happy,surprise,78,75,"mixed modality signals (audio suggests surprise, visual suggests mild happiness); background unfocused in the video frame",False,True,surprise,0.5675675675675675
sample_00004950.mp4,T,neutral,neutral,85,60,whispered speech leading to reduced clarity; brief/fragmented utterance lacking context; linguistic ambiguity due to short sentence,True,False,neutral,0.2661290322580645
sample_00004950.mp4,A,neutral,happy,90,95,,False,True,neutral,0.2661290322580645
sample_00004950.mp4,V,neutral,worried,72,50,foreground subject out of focus (back of woman's head); two-person frame with partial occlusion; slightly turned angle reduces facial pose clarity,False,True,neutral,0.2661290322580645
sample_00004950.mp4,TAV,neutral,worried,72,70,"occlusion: foreground/back of a woman's head partially blocks view of the speaker; two-person interaction leads to competing cues; occasional/slurring in audio, though overall intelligible; mixed audiovisual signals (enthusiasm in audio vs. serious facial cues) reduce single-emotion certainty",False,True,neutral,0.2661290322580645
sample_00002460.mp4,T,happy,neutral,60,30,brief content; no audio or visual cues,False,False,neutral,0.3409090909090909
sample_00002460.mp4,A,happy,neutral,90,95,,False,True,neutral,0.3409090909090909
sample_00002460.mp4,V,happy,happy,85,90,,True,False,neutral,0.3409090909090909
sample_00002460.mp4,TAV,happy,surprise,85,90,,False,True,neutral,0.3409090909090909
sample_00001551.mp4,T,worried,angry,70,40,whispered speech; garbled transcript with mixed language; fragmentary content; unclear context,False,True,worried,0.26573426573426573
sample_00001551.mp4,A,worried,"{
  ""emotions"": [
    {
      ""emotion"": ""neutral"",
      ""confidence"": 85
    }
  ],
  ""primary_emotion"": ""neutral"",
  ""primary_confidence"": 85,
  ""data_quality"": {
    ""score"": 90,
    ""issues"": [],
    ""reasoning"": ""description indicates clear articulation and natural delivery with varied prosody; no artifacts or noise described.""
  ],
  ""reasoning"": ""audio description suggests a confident, engaging but emotionally neutral delivery. no explicit emotional content detected; neutral is the most supported interpretation.""
}",50,30,parsing_error,False,False,worried,0.26573426573426573
sample_00001551.mp4,V,worried,worried,60,85,,True,False,worried,0.26573426573426573
sample_00001551.mp4,TAV,worried,worried,72,90,,True,False,worried,0.26573426573426573
sample_00006798.mp4,T,worried,neutral,68,40,brief content; transcript-only data; unclear speech; possible transcription errors; no audio/visual cues,False,False,neutral,0.5010309278350515
sample_00006798.mp4,A,worried,surprise,85,92,,False,True,neutral,0.5010309278350515
