video_id,ground_truth,tav_prediction,tav_confidence,tav_emotions
sample_00002885.mp4,surprise,happy,92,"[{'emotion': 'happy', 'confidence': 92}, {'emotion': 'surprise', 'confidence': 70}]"
sample_00000705.mp4,neutral,happy,90,"[{'emotion': 'happy', 'confidence': 90}, {'emotion': 'surprise', 'confidence': 65}]"
sample_00004007.mp4,surprise,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'surprise', 'confidence': 40}]"
sample_00001631.mp4,surprise,surprise,90,"[{'emotion': 'surprise', 'confidence': 90}]"
sample_00005443.mp4,happy,surprise,90,"[{'emotion': 'surprise', 'confidence': 90}, {'emotion': 'happy', 'confidence': 65}]"
sample_00004950.mp4,neutral,happy,85,"[{'emotion': 'happy', 'confidence': 85}, {'emotion': 'surprise', 'confidence': 75}, {'emotion': 'worried', 'confidence': 60}]"
sample_00002460.mp4,happy,surprise,85,"[{'emotion': 'surprise', 'confidence': 85}, {'emotion': 'happy', 'confidence': 70}, {'emotion': 'neutral', 'confidence': 30}]"
sample_00001551.mp4,worried,worried,78,"[{'emotion': 'worried', 'confidence': 78}, {'emotion': 'neutral', 'confidence': 65}, {'emotion': 'angry', 'confidence': 50}, {'emotion': 'surprise', 'confidence': 45}]"
sample_00006798.mp4,worried,surprise,85,"[{'emotion': 'surprise', 'confidence': 85}, {'emotion': 'worried', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'neutral', 'confidence': 15}]"
sample_00005939.mp4,worried,worried,75,"[{'emotion': 'worried', 'confidence': 75}, {'emotion': 'surprise', 'confidence': 60}, {'emotion': 'happy', 'confidence': 30}, {'emotion': 'neutral', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'fear', 'confidence': 15}, {'emotion': 'sad', 'confidence': 10}, {'emotion': 'angry', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00005497.mp4,worried,angry,72,"[{'emotion': 'angry', 'confidence': 72}, {'emotion': 'neutral', 'confidence': 60}, {'emotion': 'worried', 'confidence': 50}, {'emotion': 'happy', 'confidence': 40}, {'emotion': 'surprise', 'confidence': 25}, {'emotion': 'contempt', 'confidence': 25}, {'emotion': 'fear', 'confidence': 20}, {'emotion': 'doubt', 'confidence': 20}, {'emotion': 'sad', 'confidence': 15}]"
sample_00003790.mp4,sad,worried,88,"[{'emotion': 'worried', 'confidence': 88}, {'emotion': 'surprise', 'confidence': 54}, {'emotion': 'neutral', 'confidence': 25}, {'emotion': 'doubt', 'confidence': 22}, {'emotion': 'sad', 'confidence': 18}, {'emotion': 'fear', 'confidence': 12}, {'emotion': 'contempt', 'confidence': 9}, {'emotion': 'happy', 'confidence': 6}, {'emotion': 'angry', 'confidence': 6}]"
sample_00004940.mp4,angry,angry,65,"[{'emotion': 'angry', 'confidence': 65}, {'emotion': 'surprise', 'confidence': 60}]"
sample_00005321.mp4,angry,angry,85,"[{'emotion': 'angry', 'confidence': 85}, {'emotion': 'worried', 'confidence': 70}, {'emotion': 'surprise', 'confidence': 45}, {'emotion': 'neutral', 'confidence': 30}, {'emotion': 'fear', 'confidence': 25}, {'emotion': 'sad', 'confidence': 20}, {'emotion': 'doubt', 'confidence': 15}, {'emotion': 'happy', 'confidence': 10}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00004407.mp4,sad,surprise,70,"[{'emotion': 'surprise', 'confidence': 70}, {'emotion': 'worried', 'confidence': 65}, {'emotion': 'happy', 'confidence': 40}, {'emotion': 'doubt', 'confidence': 30}, {'emotion': 'fear', 'confidence': 25}, {'emotion': 'neutral', 'confidence': 15}, {'emotion': 'sad', 'confidence': 10}, {'emotion': 'angry', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 5}]"
sample_00001999.mp4,sad,sad,95,"[{'emotion': 'sad', 'confidence': 95}, {'emotion': 'worried', 'confidence': 75}, {'emotion': 'fear', 'confidence': 65}, {'emotion': 'doubt', 'confidence': 60}, {'emotion': 'surprise', 'confidence': 30}]"
sample_00004943.mp4,happy,happy,92,"[{'emotion': 'happy', 'confidence': 92}]"
sample_00002010.mp4,surprise,surprise,90,"[{'emotion': 'surprise', 'confidence': 90}, {'emotion': 'doubt', 'confidence': 60}, {'emotion': 'worried', 'confidence': 40}, {'emotion': 'neutral', 'confidence': 30}]"
sample_00002603.mp4,happy,happy,60,"[{'emotion': 'happy', 'confidence': 60}, {'emotion': 'surprise', 'confidence': 40}, {'emotion': 'neutral', 'confidence': 35}, {'emotion': 'worried', 'confidence': 20}, {'emotion': 'doubt', 'confidence': 15}, {'emotion': 'fear', 'confidence': 10}, {'emotion': 'angry', 'confidence': 5}, {'emotion': 'sad', 'confidence': 5}, {'emotion': 'contempt', 'confidence': 5}]"
