PREDICTION RESULTS
=================

Sample sample_00000023: Ground Truth: angry, Predicted: angry
Sample sample_00000046: Ground Truth: angry, Predicted: fear
Sample sample_00000047: Ground Truth: surprise, Predicted: surprise
Sample sample_00000054: Ground Truth: angry, Predicted: angry
Sample sample_00000069: Ground Truth: angry, Predicted: angry
Sample sample_00000113: Ground Truth: surprise, Predicted: happy
Sample sample_00000137: Ground Truth: fear, Predicted: fear
Sample sample_00000173: Ground Truth: neutral, Predicted: sad
Sample sample_00000210: Ground Truth: sad, Predicted: sad
Sample sample_00000292: Ground Truth: happy, Predicted: happy
Sample sample_00000298: Ground Truth: fear, Predicted: fear
Sample sample_00000366: Ground Truth: surprise, Predicted: surprise
Sample sample_00000387: Ground Truth: surprise, Predicted: surprise
Sample sample_00000421: Ground Truth: neutral, Predicted: neutral
Sample sample_00000466: Ground Truth: contempt, Predicted: contempt
Sample sample_00000526: Ground Truth: angry, Predicted: angry
Sample sample_00000546: Ground Truth: angry, Predicted: happy
Sample sample_00000555: Ground Truth: angry, Predicted: angry
Sample sample_00000557: Ground Truth: worried, Predicted: worried
Sample sample_00000565: Ground Truth: fear, Predicted: fear
Sample sample_00000620: Ground Truth: happy, Predicted: happy
Sample sample_00000643: Ground Truth: angry, Predicted: fear
Sample sample_00000654: Ground Truth: angry, Predicted: fear
Sample sample_00000655: Ground Truth: happy, Predicted: happy
Sample sample_00000661: Ground Truth: surprise, Predicted: surprise
Sample sample_00000663: Ground Truth: neutral, Predicted: neutral
Sample sample_00000707: Ground Truth: angry, Predicted: angry
Sample sample_00000761: Ground Truth: worried, Predicted: worried
Sample sample_00000768: Ground Truth: neutral, Predicted: neutral
Sample sample_00000772: Ground Truth: sad, Predicted: sad
Sample sample_00000789: Ground Truth: worried, Predicted: worried
Sample sample_00000828: Ground Truth: angry, Predicted: angry
Sample sample_00000834: Ground Truth: worried, Predicted: worried
Sample sample_00000840: Ground Truth: angry, Predicted: worried
Sample sample_00000890: Ground Truth: angry, Predicted: angry
Sample sample_00000914: Ground Truth: surprise, Predicted: surprise
Sample sample_00000921: Ground Truth: worried, Predicted: fear
Sample sample_00000922: Ground Truth: neutral, Predicted: neutral
Sample sample_00000945: Ground Truth: angry, Predicted: angry
Sample sample_00000952: Ground Truth: fear, Predicted: sad
Sample sample_00000954: Ground Truth: surprise, Predicted: surprise
Sample sample_00000971: Ground Truth: angry, Predicted: angry
Sample sample_00000988: Ground Truth: neutral, Predicted: neutral
Sample sample_00001008: Ground Truth: sad, Predicted: sad
Sample sample_00001032: Ground Truth: happy, Predicted: happy
Sample sample_00001041: Ground Truth: surprise, Predicted: surprise
Sample sample_00001096: Ground Truth: sad, Predicted: fear
