PREDICTION RESULTS
=================

Video Ses01F_script01_1_F037.mp4: Ground Truth: angry, Predicted: surprised
Video Ses01F_impro02_M011.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01F_impro02_M005.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01M_script01_1_F040.mp4: Ground Truth: angry, Predicted: angry
Video Ses01M_script03_1_M003.mp4: Ground Truth: fearful, Predicted: excited
Video Ses01M_script03_1_M017.mp4: Ground Truth: happy, Predicted: neutral
Video Ses01F_script02_1_M030.mp4: Ground Truth: surprised, Predicted: happy
Video Ses01M_impro03_M007.mp4: Ground Truth: excited, Predicted: excited
Video Ses01M_impro07_F004.mp4: Ground Truth: excited, Predicted: excited
Video Ses01M_script02_2_M029.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01F_impro07_M018.mp4: Ground Truth: neutral, Predicted: happy
Video Ses01M_script02_1_M044.mp4: Ground Truth: excited, Predicted: excited
Video Ses01M_impro06_F006.mp4: Ground Truth: sad, Predicted: sad
Video Ses01M_script01_3_M031.mp4: Ground Truth: sad, Predicted: sad
Video Ses01M_script03_1_F021.mp4: Ground Truth: happy, Predicted: fearful
Video Ses01M_script03_1_M000.mp4: Ground Truth: fearful, Predicted: happy
Video Ses01M_impro03_M011.mp4: Ground Truth: excited, Predicted: happy
Video Ses01M_impro03_M005.mp4: Ground Truth: excited, Predicted: excited
Video Ses01M_impro03_M004.mp4: Ground Truth: excited, Predicted: neutral
Video Ses01M_script03_1_M001.mp4: Ground Truth: fearful, Predicted: neutral
Video Ses01M_impro07_M032.mp4: Ground Truth: happy, Predicted: excited
Video Ses01M_script02_1_M045.mp4: Ground Truth: excited, Predicted: neutral
Video Ses01F_impro03_M017.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01M_script01_3_M020.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01M_impro07_M022.mp4: Ground Truth: surprised, Predicted: happy
Video Ses01M_impro06_M022.mp4: Ground Truth: sad, Predicted: sad
Video Ses01F_script02_1_M036.mp4: Ground Truth: happy, Predicted: excited
Video Ses01M_impro02_M014.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01M_script03_1_M004.mp4: Ground Truth: happy, Predicted: happy
Video Ses01F_impro03_M002.mp4: Ground Truth: surprised, Predicted: neutral
Video Ses01M_impro03_F020.mp4: Ground Truth: excited, Predicted: happy
Video Ses01F_impro03_F021.mp4: Ground Truth: happy, Predicted: happy
Video Ses01M_impro03_M016.mp4: Ground Truth: excited, Predicted: excited
Video Ses01M_script02_2_F019.mp4: Ground Truth: neutral, Predicted: sad
Video Ses01F_impro07_F016.mp4: Ground Truth: excited, Predicted: neutral
Video Ses01M_impro06_M020.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01M_script01_3_M022.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01F_impro03_M015.mp4: Ground Truth: happy, Predicted: happy
Video Ses01F_script03_1_M003.mp4: Ground Truth: fearful, Predicted: happy
Video Ses01F_script01_3_F013.mp4: Ground Truth: happy, Predicted: happy
Video Ses01M_script01_1_F023.mp4: Ground Truth: angry, Predicted: angry
Video Ses01F_script01_3_M033.mp4: Ground Truth: sad, Predicted: sad
Video Ses01F_script03_1_M002.mp4: Ground Truth: fearful, Predicted: neutral
Video Ses01M_impro04_F008.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script02_1_M031.mp4: Ground Truth: excited, Predicted: neutral
Video Ses01F_script01_1_F043.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01F_script03_1_M000.mp4: Ground Truth: fearful, Predicted: surprised
Video Ses01M_impro04_F022.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script01_1_F034.mp4: Ground Truth: surprised, Predicted: surprised
Video Ses01M_impro01_M009.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01F_script02_1_M044.mp4: Ground Truth: happy, Predicted: sad
Video Ses01F_impro05_F008.mp4: Ground Truth: angry, Predicted: neutral
Video Ses01F_impro05_F020.mp4: Ground Truth: angry, Predicted: happy
Video Ses01M_script02_2_F040.mp4: Ground Truth: sad, Predicted: neutral
Video Ses01M_script03_2_M031.mp4: Ground Truth: angry, Predicted: happy
Video Ses01F_script03_1_M001.mp4: Ground Truth: fearful, Predicted: happy
Video Ses01M_script01_1_M000.mp4: Ground Truth: neutral, Predicted: neutral
Video Ses01M_script01_1_M028.mp4: Ground Truth: frustrated, Predicted: neutral
Video Ses01M_impro01_F015.mp4: Ground Truth: frustrated, Predicted: angry
