PREDICTION RESULTS
=================

Video dia233_utt4.mp4: Ground Truth: sadness, Predicted: sad
Video dia175_utt3.mp4: Ground Truth: surprise, Predicted: happy
Video dia169_utt6.mp4: Ground Truth: anger, Predicted: determined
Video dia279_utt14.mp4: Ground Truth: neutral, Predicted: worried
Video dia239_utt7.mp4: Ground Truth: neutral, Predicted: angry
Video dia115_utt4.mp4: Ground Truth: neutral, Predicted: worried
Video dia279_utt15.mp4: Ground Truth: neutral, Predicted: neutral
Video dia245_utt4.mp4: Ground Truth: fear, Predicted: surprise
Video dia42_utt2.mp4: Ground Truth: neutral, Predicted: sad
Video dia120_utt18.mp4: Ground Truth: neutral, Predicted: angry
Video dia233_utt5.mp4: Ground Truth: joy, Predicted: worried
Video dia29_utt4.mp4: Ground Truth: surprise, Predicted: worried
Video dia97_utt9.mp4: Ground Truth: neutral, Predicted: neutral
Video dia169_utt5.mp4: Ground Truth: surprise, Predicted: happy
Video dia133_utt9.mp4: Ground Truth: neutral, Predicted: sad
Video dia42_utt0.mp4: Ground Truth: joy, Predicted: happy
Video dia169_utt20.mp4: Ground Truth: neutral, Predicted: worried
Video dia244_utt6.mp4: Ground Truth: disgust, Predicted: angry
Video dia17_utt17.mp4: Ground Truth: fear, Predicted: worried
Video dia17_utt16.mp4: Ground Truth: fear, Predicted: surprise
Video dia244_utt7.mp4: Ground Truth: disgust, Predicted: angry
Video dia42_utt1.mp4: Ground Truth: sadness, Predicted: worried
Video dia133_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia169_utt4.mp4: Ground Truth: surprise, Predicted: happy
Video dia77_utt3.mp4: Ground Truth: anger, Predicted: neutral
Video dia97_utt8.mp4: Ground Truth: fear, Predicted: happy
Video dia29_utt5.mp4: Ground Truth: surprise, Predicted: worried
Video dia240_utt9.mp4: Ground Truth: joy, Predicted: worried
Video dia22_utt13.mp4: Ground Truth: joy, Predicted: happy
Video dia207_utt0.mp4: Ground Truth: sadness, Predicted: happy
Video dia174_utt5.mp4: Ground Truth: joy, Predicted: happy
Video dia175_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia245_utt3.mp4: Ground Truth: joy, Predicted: happy
Video dia169_utt19.mp4: Ground Truth: neutral, Predicted: surprise
Video dia60_utt1.mp4: Ground Truth: neutral, Predicted: happy
Video dia110_utt8.mp4: Ground Truth: disgust, Predicted: angry
Video dia111_utt8.mp4: Ground Truth: sadness, Predicted: neutral
Video dia115_utt2.mp4: Ground Truth: anger, Predicted: worried
Video dia239_utt1.mp4: Ground Truth: anger, Predicted: worried
Video dia210_utt7.mp4: Ground Truth: joy, Predicted: happy
Video dia115_utt3.mp4: Ground Truth: disgust, Predicted: angry
Video dia279_utt13.mp4: Ground Truth: neutral, Predicted: confident
Video dia111_utt9.mp4: Ground Truth: fear, Predicted: neutral
Video dia60_utt0.mp4: Ground Truth: fear, Predicted: worried
Video dia169_utt18.mp4: Ground Truth: disgust, Predicted: angry
Video dia175_utt4.mp4: Ground Truth: fear, Predicted: worried
Video dia174_utt4.mp4: Ground Truth: sadness, Predicted: neutral
Video dia207_utt1.mp4: Ground Truth: sadness, Predicted: surprise
Video dia22_utt12.mp4: Ground Truth: joy, Predicted: happy
Video dia240_utt8.mp4: Ground Truth: neutral, Predicted: worried
Video dia233_utt3.mp4: Ground Truth: neutral, Predicted: happy
Video dia77_utt4.mp4: Ground Truth: sadness, Predicted: worried
Video dia174_utt6.mp4: Ground Truth: sadness, Predicted: worried
Video dia239_utt2.mp4: Ground Truth: surprise, Predicted: worried
Video dia239_utt3.mp4: Ground Truth: neutral, Predicted: happy
Video dia29_utt3.mp4: Ground Truth: surprise, Predicted: surprise
Video dia22_utt11.mp4: Ground Truth: neutral, Predicted: happy
Video dia230_utt8.mp4: Ground Truth: disgust, Predicted: angry
Video dia131_utt6.mp4: Ground Truth: joy, Predicted: happy
Video dia254_utt16.mp4: Ground Truth: neutral, Predicted: worried
Video dia25_utt2.mp4: Ground Truth: sadness, Predicted: happy
Video dia240_utt16.mp4: Ground Truth: surprise, Predicted: neutral
Video dia165_utt3.mp4: Ground Truth: disgust, Predicted: worried
Video dia174_utt13.mp4: Ground Truth: anger, Predicted: happy
Video dia254_utt5.mp4: Ground Truth: anger, Predicted: angry
Video dia100_utt18.mp4: Ground Truth: fear, Predicted: neutral
Video dia52_utt2.mp4: Ground Truth: neutral, Predicted: worried
Video dia100_utt19.mp4: Ground Truth: sadness, Predicted: worried
Video dia174_utt12.mp4: Ground Truth: neutral, Predicted: worried
Video dia165_utt2.mp4: Ground Truth: surprise, Predicted: sad
Video dia112_utt3.mp4: Ground Truth: disgust, Predicted: neutral
Video dia25_utt3.mp4: Ground Truth: neutral, Predicted: happy
Video dia200_utt1.mp4: Ground Truth: anger, Predicted: worried
Video dia131_utt5.mp4: Ground Truth: neutral, Predicted: happy
Video dia254_utt15.mp4: Ground Truth: anger, Predicted: worried
Video dia200_utt3.mp4: Ground Truth: anger, Predicted: worried
Video dia240_utt15.mp4: Ground Truth: sadness, Predicted: neutral
Video dia25_utt1.mp4: Ground Truth: neutral, Predicted: worried
Video dia52_utt0.mp4: Ground Truth: neutral, Predicted: worried
Video dia254_utt6.mp4: Ground Truth: anger, Predicted: worried
Video dia254_utt7.mp4: Ground Truth: surprise, Predicted: worried
Video dia52_utt1.mp4: Ground Truth: disgust, Predicted: angry
Video dia200_utt2.mp4: Ground Truth: anger, Predicted: worried
Video dia254_utt14.mp4: Ground Truth: disgust, Predicted: worried
Video dia131_utt4.mp4: Ground Truth: neutral, Predicted: happy
Video dia94_utt0.mp4: Ground Truth: surprise, Predicted: angry
Video dia254_utt10.mp4: Ground Truth: neutral, Predicted: neutral
Video dia240_utt10.mp4: Ground Truth: surprise, Predicted: surprise
Video dia126_utt6.mp4: Ground Truth: neutral, Predicted: worried
Video dia112_utt4.mp4: Ground Truth: surprise, Predicted: neutral
Video dia249_utt6.mp4: Ground Truth: neutral, Predicted: happy
