PREDICTION RESULTS
=================

Sample 0: Ground Truth: sadness, Predicted: sadness
Sample 1: Ground Truth: surprise, Predicted: joy
Sample 2: Ground Truth: anger, Predicted: joy
Sample 3: Ground Truth: neutral, Predicted: sadness
Sample 4: Ground Truth: neutral, Predicted: disgust
Sample 5: Ground Truth: neutral, Predicted: sadness
Sample 6: Ground Truth: neutral, Predicted: neutral
Sample 7: Ground Truth: fear, Predicted: surprise
Sample 8: Ground Truth: neutral, Predicted: sadness
Sample 9: Ground Truth: neutral, Predicted: anger
Sample 10: Ground Truth: joy, Predicted: sadness
Sample 11: Ground Truth: surprise, Predicted: confusion
Sample 12: Ground Truth: neutral, Predicted: neutral
Sample 13: Ground Truth: surprise, Predicted: joy
Sample 14: Ground Truth: neutral, Predicted: neutral
Sample 15: Ground Truth: joy, Predicted: joy
Sample 16: Ground Truth: neutral, Predicted: disgust
Sample 17: Ground Truth: disgust, Predicted: disgust
Sample 18: Ground Truth: fear, Predicted: anger
Sample 19: Ground Truth: fear, Predicted: surprise
Sample 20: Ground Truth: disgust, Predicted: anger
Sample 21: Ground Truth: sadness, Predicted: sadness
Sample 22: Ground Truth: surprise, Predicted: surprise
Sample 23: Ground Truth: surprise, Predicted: neutral
Sample 24: Ground Truth: anger, Predicted: neutral
Sample 25: Ground Truth: fear, Predicted: joy
Sample 26: Ground Truth: surprise, Predicted: neutral
Sample 27: Ground Truth: joy, Predicted: neutral
Sample 28: Ground Truth: joy, Predicted: neutral
Sample 29: Ground Truth: sadness, Predicted: joy
Sample 30: Ground Truth: joy, Predicted: joy
Sample 31: Ground Truth: neutral, Predicted: neutral
Sample 32: Ground Truth: joy, Predicted: joy
Sample 33: Ground Truth: neutral, Predicted: surprise
Sample 34: Ground Truth: neutral, Predicted: joy
Sample 35: Ground Truth: disgust, Predicted: anger
Sample 36: Ground Truth: sadness, Predicted: neutral
Sample 37: Ground Truth: anger, Predicted: anger
Sample 38: Ground Truth: anger, Predicted: sadness
Sample 39: Ground Truth: joy, Predicted: joy
Sample 40: Ground Truth: disgust, Predicted: anger
Sample 41: Ground Truth: neutral, Predicted: anger
Sample 42: Ground Truth: fear, Predicted: neutral
Sample 43: Ground Truth: fear, Predicted: sadness
Sample 44: Ground Truth: disgust, Predicted: anger
Sample 45: Ground Truth: fear, Predicted: concern
Sample 46: Ground Truth: sadness, Predicted: neutral
Sample 47: Ground Truth: sadness, Predicted: sadness
Sample 48: Ground Truth: joy, Predicted: joy
Sample 49: Ground Truth: neutral, Predicted: sadness
Sample 50: Ground Truth: neutral, Predicted: joy
Sample 51: Ground Truth: sadness, Predicted: sadness
Sample 52: Ground Truth: sadness, Predicted: sadness
Sample 53: Ground Truth: surprise, Predicted: fear
Sample 54: Ground Truth: neutral, Predicted: joy
Sample 55: Ground Truth: surprise, Predicted: surprise
Sample 56: Ground Truth: neutral, Predicted: neutral
Sample 57: Ground Truth: disgust, Predicted: disgust
Sample 58: Ground Truth: joy, Predicted: joy
Sample 59: Ground Truth: neutral, Predicted: fear
Sample 60: Ground Truth: sadness, Predicted: joy
Sample 61: Ground Truth: surprise, Predicted: neutral
Sample 62: Ground Truth: disgust, Predicted: sadness
Sample 63: Ground Truth: anger, Predicted: joy
Sample 64: Ground Truth: anger, Predicted: anger
Sample 65: Ground Truth: fear, Predicted: neutral
Sample 66: Ground Truth: neutral, Predicted: neutral
Sample 67: Ground Truth: sadness, Predicted: joy
Sample 68: Ground Truth: neutral, Predicted: sadness
Sample 69: Ground Truth: surprise, Predicted: sadness
Sample 70: Ground Truth: disgust, Predicted: neutral
Sample 71: Ground Truth: neutral, Predicted: joy
Sample 72: Ground Truth: anger, Predicted: sadness
Sample 73: Ground Truth: neutral, Predicted: joy
Sample 74: Ground Truth: anger, Predicted: fear
Sample 75: Ground Truth: anger, Predicted: fear
Sample 76: Ground Truth: sadness, Predicted: neutral
Sample 77: Ground Truth: neutral, Predicted: sadness
Sample 78: Ground Truth: neutral, Predicted: neutral
Sample 79: Ground Truth: anger, Predicted: neutral
Sample 80: Ground Truth: surprise, Predicted: fear
Sample 81: Ground Truth: disgust, Predicted: anger
Sample 82: Ground Truth: anger, Predicted: anger
Sample 83: Ground Truth: disgust, Predicted: sadness
Sample 84: Ground Truth: neutral, Predicted: joy
Sample 85: Ground Truth: surprise, Predicted: anger
Sample 86: Ground Truth: neutral, Predicted: neutral
Sample 87: Ground Truth: surprise, Predicted: surprise
Sample 88: Ground Truth: neutral, Predicted: neutral
Sample 89: Ground Truth: surprise, Predicted: neutral
Sample 90: Ground Truth: neutral, Predicted: joy
Sample 91: Ground Truth: sadness, Predicted: surprise
Sample 92: Ground Truth: neutral, Predicted: surprise
Sample 93: Ground Truth: neutral, Predicted: anger
Sample 94: Ground Truth: neutral, Predicted: surprise
Sample 95: Ground Truth: disgust, Predicted: anger
Sample 96: Ground Truth: neutral, Predicted: anger
Sample 97: Ground Truth: disgust, Predicted: anger
Sample 98: Ground Truth: joy, Predicted: neutral
Sample 99: Ground Truth: neutral, Predicted: sadness
Sample 100: Ground Truth: neutral, Predicted: neutral
Sample 101: Ground Truth: joy, Predicted: joy
Sample 102: Ground Truth: neutral, Predicted: surprise
Sample 103: Ground Truth: sadness, Predicted: sadness
Sample 104: Ground Truth: fear, Predicted: fear
Sample 105: Ground Truth: neutral, Predicted: fear
Sample 106: Ground Truth: joy, Predicted: joy
Sample 107: Ground Truth: neutral, Predicted: confusion
Sample 108: Ground Truth: fear, Predicted: sadness
Sample 109: Ground Truth: surprise, Predicted: anger
Sample 110: Ground Truth: surprise, Predicted: surprise
Sample 111: Ground Truth: anger, Predicted: frustration
Sample 112: Ground Truth: joy, Predicted: neutral
Sample 113: Ground Truth: joy, Predicted: joy
Sample 114: Ground Truth: anger, Predicted: anger
Sample 115: Ground Truth: neutral, Predicted: joy
Sample 116: Ground Truth: disgust, Predicted: disgust
Sample 117: Ground Truth: neutral, Predicted: neutral
Sample 118: Ground Truth: joy, Predicted: joy
Sample 119: Ground Truth: surprise, Predicted: surprise
Sample 120: Ground Truth: neutral, Predicted: disgust
Sample 121: Ground Truth: anger, Predicted: anger
Sample 122: Ground Truth: neutral, Predicted: anger
Sample 123: Ground Truth: neutral, Predicted: joy
Sample 124: Ground Truth: neutral, Predicted: neutral
Sample 125: Ground Truth: neutral, Predicted: neutral
Sample 126: Ground Truth: surprise, Predicted: sadness
Sample 127: Ground Truth: sadness, Predicted: neutral
Sample 128: Ground Truth: anger, Predicted: neutral
Sample 129: Ground Truth: neutral, Predicted: surprise
Sample 130: Ground Truth: anger, Predicted: joy
Sample 131: Ground Truth: fear, Predicted: neutral
Sample 132: Ground Truth: fear, Predicted: neutral
Sample 133: Ground Truth: neutral, Predicted: neutral
Sample 134: Ground Truth: anger, Predicted: surprise
Sample 135: Ground Truth: surprise, Predicted: disgust
