PREDICTION RESULTS
=================

Video dia233_utt4.mp4: Ground Truth: sadness, Predicted: anger
Video dia175_utt3.mp4: Ground Truth: surprise, Predicted: joy
Video dia169_utt6.mp4: Ground Truth: anger, Predicted: surprise
Video dia279_utt14.mp4: Ground Truth: neutral, Predicted: fear
Video dia239_utt7.mp4: Ground Truth: neutral, Predicted: surprise
Video dia115_utt4.mp4: Ground Truth: neutral, Predicted: anger
Video dia279_utt15.mp4: Ground Truth: neutral, Predicted: neutral
Video dia245_utt4.mp4: Ground Truth: fear, Predicted: surprise
Video dia42_utt2.mp4: Ground Truth: neutral, Predicted: neutral
Video dia120_utt18.mp4: Ground Truth: neutral, Predicted: disgust
Video dia233_utt5.mp4: Ground Truth: joy, Predicted: anger
Video dia29_utt4.mp4: Ground Truth: surprise, Predicted: surprise
Video dia97_utt9.mp4: Ground Truth: neutral, Predicted: neutral
Video dia169_utt5.mp4: Ground Truth: surprise, Predicted: surprise
Video dia133_utt9.mp4: Ground Truth: neutral, Predicted: joy
Video dia42_utt0.mp4: Ground Truth: joy, Predicted: joy
Video dia169_utt20.mp4: Ground Truth: neutral, Predicted: neutral
Video dia244_utt6.mp4: Ground Truth: disgust, Predicted: anger
Video dia17_utt17.mp4: Ground Truth: fear, Predicted: surprise
Video dia17_utt16.mp4: Ground Truth: fear, Predicted: surprise
Video dia244_utt7.mp4: Ground Truth: disgust, Predicted: anger
Video dia42_utt1.mp4: Ground Truth: sadness, Predicted: surprise
Video dia133_utt8.mp4: Ground Truth: surprise, Predicted: surprise
Video dia169_utt4.mp4: Ground Truth: surprise, Predicted: joy
Video dia77_utt3.mp4: Ground Truth: anger, Predicted: anger
Video dia97_utt8.mp4: Ground Truth: fear, Predicted: joy
Video dia29_utt5.mp4: Ground Truth: surprise, Predicted: neutral
Video dia240_utt9.mp4: Ground Truth: joy, Predicted: surprise
Video dia22_utt13.mp4: Ground Truth: joy, Predicted: joy
Video dia207_utt0.mp4: Ground Truth: sadness, Predicted: sadness
Video dia174_utt5.mp4: Ground Truth: joy, Predicted: neutral
Video dia175_utt5.mp4: Ground Truth: neutral, Predicted: neutral
Video dia245_utt3.mp4: Ground Truth: joy, Predicted: joy
Video dia169_utt19.mp4: Ground Truth: neutral, Predicted: surprise
Video dia60_utt1.mp4: Ground Truth: neutral, Predicted: joy
Video dia110_utt8.mp4: Ground Truth: disgust, Predicted: anger
Video dia111_utt8.mp4: Ground Truth: sadness, Predicted: sadness
Video dia115_utt2.mp4: Ground Truth: anger, Predicted: neutral
Video dia239_utt1.mp4: Ground Truth: anger, Predicted: fear
Video dia210_utt7.mp4: Ground Truth: joy, Predicted: joy
Video dia115_utt3.mp4: Ground Truth: disgust, Predicted: anger
Video dia279_utt13.mp4: Ground Truth: neutral, Predicted: anger
Video dia111_utt9.mp4: Ground Truth: fear, Predicted: neutral
Video dia60_utt0.mp4: Ground Truth: fear, Predicted: sadness
Video dia169_utt18.mp4: Ground Truth: disgust, Predicted: anger
Video dia175_utt4.mp4: Ground Truth: fear, Predicted: surprise
Video dia174_utt4.mp4: Ground Truth: sadness, Predicted: neutral
Video dia207_utt1.mp4: Ground Truth: sadness, Predicted: surprise
Video dia22_utt12.mp4: Ground Truth: joy, Predicted: joy
Video dia240_utt8.mp4: Ground Truth: neutral, Predicted: neutral
Video dia233_utt3.mp4: Ground Truth: neutral, Predicted: anger
Video dia77_utt4.mp4: Ground Truth: sadness, Predicted: surprise
