PREDICTION RESULTS
=================

Sample 0: Ground Truth: sadness, Predicted: sad
Sample 1: Ground Truth: surprise, Predicted: happy
Sample 2: Ground Truth: anger, Predicted: happy
Sample 3: Ground Truth: neutral, Predicted: worried
Sample 4: Ground Truth: neutral, Predicted: worried
Sample 5: Ground Truth: neutral, Predicted: worry
Sample 6: Ground Truth: neutral, Predicted: neutral
Sample 7: Ground Truth: fear, Predicted: fear
Sample 8: Ground Truth: neutral, Predicted: sad
Sample 9: Ground Truth: neutral, Predicted: angry
Sample 10: Ground Truth: joy, Predicted: sad
Sample 11: Ground Truth: surprise, Predicted: worried
Sample 12: Ground Truth: neutral, Predicted: worried
Sample 13: Ground Truth: surprise, Predicted: happy
Sample 14: Ground Truth: neutral, Predicted: happy
Sample 15: Ground Truth: joy, Predicted: happy
Sample 16: Ground Truth: neutral, Predicted: worried
Sample 17: Ground Truth: disgust, Predicted: frustration
Sample 18: Ground Truth: fear, Predicted: angry
Sample 19: Ground Truth: fear, Predicted: excited
Sample 20: Ground Truth: disgust, Predicted: angry
Sample 21: Ground Truth: sadness, Predicted: sad
Sample 22: Ground Truth: surprise, Predicted: surprise
Sample 23: Ground Truth: surprise, Predicted: happy
Sample 24: Ground Truth: anger, Predicted: enthusiastic determination
Sample 25: Ground Truth: fear, Predicted: happy
Sample 26: Ground Truth: surprise, Predicted: happy
Sample 27: Ground Truth: joy, Predicted: frustration
Sample 28: Ground Truth: joy, Predicted: happy
Sample 29: Ground Truth: sadness, Predicted: happy
Sample 30: Ground Truth: joy, Predicted: happy
Sample 31: Ground Truth: neutral, Predicted: neutral
Sample 32: Ground Truth: joy, Predicted: happy
Sample 33: Ground Truth: neutral, Predicted: surprised happiness
Sample 34: Ground Truth: neutral, Predicted: happy
Sample 35: Ground Truth: disgust, Predicted: angry
Sample 36: Ground Truth: sadness, Predicted: worried
Sample 37: Ground Truth: anger, Predicted: angry
Sample 38: Ground Truth: anger, Predicted: worried
Sample 39: Ground Truth: joy, Predicted: happy
Sample 40: Ground Truth: disgust, Predicted: angry
Sample 41: Ground Truth: neutral, Predicted: worried
Sample 42: Ground Truth: fear, Predicted: doubt
Sample 43: Ground Truth: fear, Predicted: worried
Sample 44: Ground Truth: disgust, Predicted: angry
Sample 45: Ground Truth: fear, Predicted: worried
Sample 46: Ground Truth: sadness, Predicted: neutral
Sample 47: Ground Truth: sadness, Predicted: surprise
Sample 48: Ground Truth: joy, Predicted: happy
Sample 49: Ground Truth: neutral, Predicted: doubt
Sample 50: Ground Truth: neutral, Predicted: happy
Sample 51: Ground Truth: sadness, Predicted: doubt
Sample 52: Ground Truth: sadness, Predicted: worried
Sample 53: Ground Truth: surprise, Predicted: worried
Sample 54: Ground Truth: neutral, Predicted: happy
Sample 55: Ground Truth: surprise, Predicted: surprise
Sample 56: Ground Truth: neutral, Predicted: happy, doubt
Sample 57: Ground Truth: disgust, Predicted: frustration
Sample 58: Ground Truth: joy, Predicted: happy
Sample 59: Ground Truth: neutral, Predicted: worried
Sample 60: Ground Truth: sadness, Predicted: neutral
Sample 61: Ground Truth: surprise, Predicted: neutral
Sample 62: Ground Truth: disgust, Predicted: sad
Sample 63: Ground Truth: anger, Predicted: conflicted happiness/worry
Sample 64: Ground Truth: anger, Predicted: happy
Sample 65: Ground Truth: fear, Predicted: worried
Sample 66: Ground Truth: neutral, Predicted: doubt
Sample 67: Ground Truth: sadness, Predicted: happy with concern
Sample 68: Ground Truth: neutral, Predicted: frustration
Sample 69: Ground Truth: surprise, Predicted: sad
Sample 70: Ground Truth: disgust, Predicted: happy
Sample 71: Ground Truth: neutral, Predicted: happy
Sample 72: Ground Truth: anger, Predicted: worried
Sample 73: Ground Truth: neutral, Predicted: happy
Sample 74: Ground Truth: anger, Predicted: worried
Sample 75: Ground Truth: anger, Predicted: worried
Sample 76: Ground Truth: sadness, Predicted: neutral
Sample 77: Ground Truth: neutral, Predicted: worried
Sample 78: Ground Truth: neutral, Predicted: error
Sample 79: Ground Truth: anger, Predicted: worried
Sample 80: Ground Truth: surprise, Predicted: worried
Sample 81: Ground Truth: disgust, Predicted: angry
Sample 82: Ground Truth: anger, Predicted: angry
Sample 83: Ground Truth: disgust, Predicted: worried
Sample 84: Ground Truth: neutral, Predicted: happy
Sample 85: Ground Truth: surprise, Predicted: angry
Sample 86: Ground Truth: neutral, Predicted: lighthearted
Sample 87: Ground Truth: surprise, Predicted: surprise
Sample 88: Ground Truth: neutral, Predicted: worried
Sample 89: Ground Truth: surprise, Predicted: happy or surprised
Sample 90: Ground Truth: neutral, Predicted: happy
Sample 91: Ground Truth: sadness, Predicted: surprise
Sample 92: Ground Truth: neutral, Predicted: happy
Sample 93: Ground Truth: neutral, Predicted: worried
Sample 94: Ground Truth: neutral, Predicted: surprise, doubt
Sample 95: Ground Truth: disgust, Predicted: angry
Sample 96: Ground Truth: neutral, Predicted: angry
Sample 97: Ground Truth: disgust, Predicted: angry
Sample 98: Ground Truth: joy, Predicted: happy
Sample 99: Ground Truth: neutral, Predicted: worried
Sample 100: Ground Truth: neutral, Predicted: happy
Sample 101: Ground Truth: joy, Predicted: happy
Sample 102: Ground Truth: neutral, Predicted: happy/surprised
Sample 103: Ground Truth: sadness, Predicted: conflicted
Sample 104: Ground Truth: fear, Predicted: surprise
Sample 105: Ground Truth: neutral, Predicted: excited happiness
Sample 106: Ground Truth: joy, Predicted: happy
Sample 107: Ground Truth: neutral, Predicted: worried
Sample 108: Ground Truth: fear, Predicted: playful with a hint of worry
Sample 109: Ground Truth: surprise, Predicted: confusion
Sample 110: Ground Truth: surprise, Predicted: surprise
Sample 111: Ground Truth: anger, Predicted: happy
Sample 112: Ground Truth: joy, Predicted: happy
Sample 113: Ground Truth: joy, Predicted: happy
Sample 114: Ground Truth: anger, Predicted: angry
