PREDICTION RESULTS
=================

Sample 0: Ground Truth: sadness, Predicted: sad
Sample 1: Ground Truth: surprise, Predicted: happy
Sample 2: Ground Truth: anger, Predicted: happy
Sample 3: Ground Truth: neutral, Predicted: worried
Sample 4: Ground Truth: neutral, Predicted: worried
Sample 5: Ground Truth: neutral, Predicted: worried
Sample 6: Ground Truth: neutral, Predicted: neutral
Sample 7: Ground Truth: fear, Predicted: surprise
Sample 8: Ground Truth: neutral, Predicted: sad
Sample 9: Ground Truth: neutral, Predicted: angry
Sample 10: Ground Truth: joy, Predicted: contempt
Sample 11: Ground Truth: surprise, Predicted: worried
Sample 12: Ground Truth: neutral, Predicted: mixed emotions (happy, worried)
Sample 13: Ground Truth: surprise, Predicted: happy
Sample 14: Ground Truth: neutral, Predicted: doubt
Sample 15: Ground Truth: joy, Predicted: happy
Sample 16: Ground Truth: neutral, Predicted: worried
Sample 17: Ground Truth: disgust, Predicted: worried
Sample 18: Ground Truth: fear, Predicted: doubt
Sample 19: Ground Truth: fear, Predicted: worried
Sample 20: Ground Truth: disgust, Predicted: worried
Sample 21: Ground Truth: sadness, Predicted: sad
Sample 22: Ground Truth: surprise, Predicted: surprise
Sample 23: Ground Truth: surprise, Predicted: happy
Sample 24: Ground Truth: anger, Predicted: neutral
Sample 25: Ground Truth: fear, Predicted: happy
Sample 26: Ground Truth: surprise, Predicted: happy
Sample 27: Ground Truth: joy, Predicted: frustration
Sample 28: Ground Truth: joy, Predicted: happy
Sample 29: Ground Truth: sadness, Predicted: happy
Sample 30: Ground Truth: joy, Predicted: happy
Sample 31: Ground Truth: neutral, Predicted: doubt
Sample 32: Ground Truth: joy, Predicted: happy
Sample 33: Ground Truth: neutral, Predicted: happy
Sample 34: Ground Truth: neutral, Predicted: happy
Sample 35: Ground Truth: disgust, Predicted: contempt
Sample 36: Ground Truth: sadness, Predicted: angry
Sample 37: Ground Truth: anger, Predicted: worried
Sample 38: Ground Truth: anger, Predicted: worried
Sample 39: Ground Truth: joy, Predicted: happy
Sample 40: Ground Truth: disgust, Predicted: 
Sample 41: Ground Truth: neutral, Predicted: worried
Sample 42: Ground Truth: fear, Predicted: worried
Sample 43: Ground Truth: fear, Predicted: doubt
Sample 44: Ground Truth: disgust, Predicted: angry
Sample 45: Ground Truth: fear, Predicted: worried
Sample 46: Ground Truth: sadness, Predicted: happy
Sample 47: Ground Truth: sadness, Predicted: surprise
Sample 48: Ground Truth: joy, Predicted: happy
Sample 49: Ground Truth: neutral, Predicted: worried
Sample 50: Ground Truth: neutral, Predicted: happy
Sample 51: Ground Truth: sadness, Predicted: worried
Sample 52: Ground Truth: sadness, Predicted: worried
Sample 53: Ground Truth: surprise, Predicted: worried
Sample 54: Ground Truth: neutral, Predicted: happy
Sample 55: Ground Truth: surprise, Predicted: surprise
Sample 56: Ground Truth: neutral, Predicted: happy
Sample 57: Ground Truth: disgust, Predicted: disgust
Sample 58: Ground Truth: joy, Predicted: happy
Sample 59: Ground Truth: neutral, Predicted: worried
Sample 60: Ground Truth: sadness, Predicted: happy
Sample 61: Ground Truth: surprise, Predicted: worried
Sample 62: Ground Truth: disgust, Predicted: sad
Sample 63: Ground Truth: anger, Predicted: happy
Sample 64: Ground Truth: anger, Predicted: frustration
Sample 65: Ground Truth: fear, Predicted: neutral
Sample 66: Ground Truth: neutral, Predicted: worried
Sample 67: Ground Truth: sadness, Predicted: happy
Sample 68: Ground Truth: neutral, Predicted: worried
Sample 69: Ground Truth: surprise, Predicted: sad
Sample 70: Ground Truth: disgust, Predicted: worried
Sample 71: Ground Truth: neutral, Predicted: happy
Sample 72: Ground Truth: anger, Predicted: worried
Sample 73: Ground Truth: neutral, Predicted: happy
Sample 74: Ground Truth: anger, Predicted: worried
Sample 75: Ground Truth: anger, Predicted: worry
Sample 76: Ground Truth: sadness, Predicted: worried
Sample 77: Ground Truth: neutral, Predicted: sad
Sample 78: Ground Truth: neutral, Predicted: doubt
Sample 79: Ground Truth: anger, Predicted: worry
Sample 80: Ground Truth: surprise, Predicted: worry
Sample 81: Ground Truth: disgust, Predicted: frustrated
Sample 82: Ground Truth: anger, Predicted: worried
Sample 83: Ground Truth: disgust, Predicted: sad
Sample 84: Ground Truth: neutral, Predicted: happy
Sample 85: Ground Truth: surprise, Predicted: angry
Sample 86: Ground Truth: neutral, Predicted: happy
Sample 87: Ground Truth: surprise, Predicted: surprise
Sample 88: Ground Truth: neutral, Predicted: worry
Sample 89: Ground Truth: surprise, Predicted: surprise and boredom
Sample 90: Ground Truth: neutral, Predicted: happy
Sample 91: Ground Truth: sadness, Predicted: surprise
Sample 92: Ground Truth: neutral, Predicted: surprise
Sample 93: Ground Truth: neutral, Predicted: surprise
Sample 94: Ground Truth: neutral, Predicted: worry
Sample 95: Ground Truth: disgust, Predicted: angry
Sample 96: Ground Truth: neutral, Predicted: angry
Sample 97: Ground Truth: disgust, Predicted: angry
Sample 98: Ground Truth: joy, Predicted: happy (with elements of tension)
Sample 99: Ground Truth: neutral, Predicted: worried
Sample 100: Ground Truth: neutral, Predicted: neutral
Sample 101: Ground Truth: joy, Predicted: happy
Sample 102: Ground Truth: neutral, Predicted: happy
Sample 103: Ground Truth: sadness, Predicted: sad doubt
Sample 104: Ground Truth: fear, Predicted: worried
Sample 105: Ground Truth: neutral, Predicted: happy
Sample 106: Ground Truth: joy, Predicted: excited happiness
Sample 107: Ground Truth: neutral, Predicted: worry
Sample 108: Ground Truth: fear, Predicted: 
Sample 109: Ground Truth: surprise, Predicted: worried
Sample 110: Ground Truth: surprise, Predicted: 
Sample 111: Ground Truth: anger, Predicted: happy
Sample 112: Ground Truth: joy, Predicted: happy
Sample 113: Ground Truth: joy, Predicted: happy
Sample 114: Ground Truth: anger, Predicted: angry
Sample 115: Ground Truth: neutral, Predicted: happy
